Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
BREST;48.39;-4.48;25/09/2026;0;SOLEIL;27.7;14.4
BREST;48.39;-4.48;26/09/2026;0;SOLEIL;24.4;15.5
BREST;48.39;-4.48;27/09/2026;5;SOLEIL VOILÉ;26.9;15.6
BREST;48.39;-4.48;28/09/2026;7;PLUIE FAIBLE;23.6;18.1
BREST;48.39;-4.48;29/09/2026;0;SOLEIL;28.4;18
BREST;48.39;-4.48;30/09/2026;2;NUAGEUX;26.1;19.1
BREST;48.39;-4.48;01/10/2026;2;NUAGEUX;21.6;17.6
BREST;48.39;-4.48;02/10/2026;0;SOLEIL;21.2;14.9
RENNES;48.11;-1.67;25/09/2026;0;SOLEIL;20.6;12.5
RENNES;48.11;-1.67;26/09/2026;5;SOLEIL VOILÉ;21.7;12.1
RENNES;48.11;-1.67;27/09/2026;5;SOLEIL VOILÉ;20.4;13.1
RENNES;48.11;-1.67;28/09/2026;7;PLUIE FAIBLE;21.2;13.6
RENNES;48.11;-1.67;29/09/2026;2;NUAGEUX;22.7;15.6
RENNES;48.11;-1.67;30/09/2026;6;AVERSES;20;15.9
RENNES;48.11;-1.67;01/10/2026;6;AVERSES;19.5;13.5
RENNES;48.11;-1.67;02/10/2026;7;PLUIE FAIBLE;19.2;12.7
CHERBOURG;49.63;-1.62;25/09/2026;0;SOLEIL;29.7;13.4
CHERBOURG;49.63;-1.62;26/09/2026;5;SOLEIL VOILÉ;24;14.5
CHERBOURG;49.63;-1.62;27/09/2026;5;SOLEIL VOILÉ;24.6;13.4
CHERBOURG;49.63;-1.62;28/09/2026;6;AVERSES;22.7;16
CHERBOURG;49.63;-1.62;29/09/2026;2;NUAGEUX;27.1;17.5
CHERBOURG;49.63;-1.62;30/09/2026;6;AVERSES;23.1;17.7
CHERBOURG;49.63;-1.62;01/10/2026;7;PLUIE FAIBLE;21.6;13.9
CHERBOURG;49.63;-1.62;02/10/2026;7;PLUIE FAIBLE;21.4;12
ROUEN;49.44;1.1;25/09/2026;0;SOLEIL;22.9;13.6
ROUEN;49.44;1.1;26/09/2026;5;SOLEIL VOILÉ;21.1;14.7
ROUEN;49.44;1.1;27/09/2026;5;SOLEIL VOILÉ;22.4;12.1
ROUEN;49.44;1.1;28/09/2026;7;PLUIE FAIBLE;20.6;15.2
ROUEN;49.44;1.1;29/09/2026;2;NUAGEUX;26.4;15.4
ROUEN;49.44;1.1;30/09/2026;7;PLUIE FAIBLE;23.1;17.1
ROUEN;49.44;1.1;01/10/2026;7;PLUIE FAIBLE;20.6;14.6
ROUEN;49.44;1.1;02/10/2026;6;AVERSES;20.4;13.1
PARIS;48.85;2.35;25/09/2026;0;SOLEIL;30.6;10.4
PARIS;48.85;2.35;26/09/2026;2;NUAGEUX;23.2;13.2
PARIS;48.85;2.35;27/09/2026;5;SOLEIL VOILÉ;26.2;11.7
PARIS;48.85;2.35;28/09/2026;7;PLUIE FAIBLE;23.4;15.2
PARIS;48.85;2.35;29/09/2026;0;SOLEIL;29.5;16.1
PARIS;48.85;2.35;30/09/2026;2;NUAGEUX;26.1;17.2
PARIS;48.85;2.35;01/10/2026;7;PLUIE FAIBLE;22.6;14.6
PARIS;48.85;2.35;02/10/2026;7;PLUIE FAIBLE;21.9;12.1
LILLE;50.62;3.05;25/09/2026;0;SOLEIL;26.6;12.5
LILLE;50.62;3.05;26/09/2026;5;SOLEIL VOILÉ;21.4;14.7
LILLE;50.62;3.05;27/09/2026;0;SOLEIL;25.5;13
LILLE;50.62;3.05;28/09/2026;7;PLUIE FAIBLE;23.5;15.6
LILLE;50.62;3.05;29/09/2026;2;NUAGEUX;29.1;16.6
LILLE;50.62;3.05;30/09/2026;2;NUAGEUX;26;18.2
LILLE;50.62;3.05;01/10/2026;2;NUAGEUX;21.7;16.1
LILLE;50.62;3.05;02/10/2026;7;PLUIE FAIBLE;21.4;13.6
BOULOGNE-SUR-MER;50.726;1.614;25/09/2026;0;SOLEIL;24;14.6
BOULOGNE-SUR-MER;50.726;1.614;26/09/2026;5;SOLEIL VOILÉ;19.1;15.5
