Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Bourg-en-Bresse;46.2;5.22;19/09/2026;0;SOLEIL;27.4;11.6
Bourg-en-Bresse;46.2;5.22;20/09/2026;5;SOLEIL VOILÉ;30;13.4
Bourg-en-Bresse;46.2;5.22;21/09/2026;5;SOLEIL VOILÉ;27.7;17.4
Bourg-en-Bresse;46.2;5.22;22/09/2026;0;SOLEIL;27.4;14.1
Bourg-en-Bresse;46.2;5.22;23/09/2026;0;SOLEIL;28.1;13.6
Vichy;46.12;3.42;19/09/2026;0;SOLEIL;25.2;9.5
Vichy;46.12;3.42;20/09/2026;5;SOLEIL VOILÉ;29.4;9.6
Vichy;46.12;3.42;21/09/2026;5;SOLEIL VOILÉ;27.5;12.7
Vichy;46.12;3.42;22/09/2026;0;SOLEIL;27.1;9.6
Vichy;46.12;3.42;23/09/2026;0;SOLEIL;26.4;9.6
Montluçon;46.34;2.6;19/09/2026;0;SOLEIL;26.5;8
Montluçon;46.34;2.6;20/09/2026;5;SOLEIL VOILÉ;28.5;10.7
Montluçon;46.34;2.6;21/09/2026;0;SOLEIL;27.1;12.1
Montluçon;46.34;2.6;22/09/2026;0;SOLEIL;29.1;9
Montluçon;46.34;2.6;23/09/2026;0;SOLEIL;29.1;9.9
Moulins;46.56;3.33;19/09/2026;0;SOLEIL;27.1;9
Moulins;46.56;3.33;20/09/2026;5;SOLEIL VOILÉ;28.9;8.1
Moulins;46.56;3.33;21/09/2026;0;SOLEIL;28.1;10.4
Moulins;46.56;3.33;22/09/2026;0;SOLEIL;27.4;6
Moulins;46.56;3.33;23/09/2026;0;SOLEIL;29;8
Privas;44.73;4.59;19/09/2026;0;SOLEIL;26.4;9.2
Privas;44.73;4.59;20/09/2026;5;SOLEIL VOILÉ;28.5;8.2
Privas;44.73;4.59;21/09/2026;0;SOLEIL;27.4;10.7
Privas;44.73;4.59;22/09/2026;0;SOLEIL;27.9;7.5
Privas;44.73;4.59;23/09/2026;0;SOLEIL;27.7;9.1
Sablières;44.53;4.07;19/09/2026;0;SOLEIL;26.4;12.2
Sablières;44.53;4.07;20/09/2026;0;SOLEIL;29.5;11.1
Sablières;44.53;4.07;21/09/2026;0;SOLEIL;28.2;17.1
Sablières;44.53;4.07;22/09/2026;0;SOLEIL;27.5;15.5
Sablières;44.53;4.07;23/09/2026;0;SOLEIL;27.6;12.6
Aurillac;44.93;2.44;19/09/2026;0;SOLEIL;28.2;9.5
Aurillac;44.93;2.44;20/09/2026;0;SOLEIL;30.9;12.2
Aurillac;44.93;2.44;21/09/2026;0;SOLEIL;30.6;13.4
Aurillac;44.93;2.44;22/09/2026;0;SOLEIL;30.6;14.6
