Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Châtillon-sur-Seine;47.86;4.57;22/09/2026;0;SOLEIL;26.2;11.1
Châtillon-sur-Seine;47.86;4.57;23/09/2026;0;SOLEIL;26.6;10.2
Châtillon-sur-Seine;47.86;4.57;24/09/2026;5;SOLEIL VOILÉ;23.2;11.5
Châtillon-sur-Seine;47.86;4.57;25/09/2026;0;SOLEIL;25.6;8.7
Châtillon-sur-Seine;47.86;4.57;26/09/2026;0;SOLEIL;27.1;8.6
Dijon;47.32;5.04;22/09/2026;0;SOLEIL;25.9;4.7
Dijon;47.32;5.04;23/09/2026;0;SOLEIL;25.2;5.2
Dijon;47.32;5.04;24/09/2026;5;SOLEIL VOILÉ;22.7;9.5
Dijon;47.32;5.04;25/09/2026;0;SOLEIL;25.9;6.5
Dijon;47.32;5.04;26/09/2026;0;SOLEIL;27.2;6.9
Pouilly-en-Auxois;47.25;4.55;22/09/2026;0;SOLEIL;25.6;7.6
Pouilly-en-Auxois;47.25;4.55;23/09/2026;0;SOLEIL;25.9;7.2
Pouilly-en-Auxois;47.25;4.55;24/09/2026;5;SOLEIL VOILÉ;22.4;9.5
Pouilly-en-Auxois;47.25;4.55;25/09/2026;0;SOLEIL;25.7;8.9
Pouilly-en-Auxois;47.25;4.55;26/09/2026;0;SOLEIL;26.7;8.6
Besançon;47.23;6.02;22/09/2026;0;SOLEIL;24.7;11
Besançon;47.23;6.02;23/09/2026;0;SOLEIL;24.6;9.9
Besançon;47.23;6.02;24/09/2026;5;SOLEIL VOILÉ;22.6;9
Besançon;47.23;6.02;25/09/2026;0;SOLEIL;25.2;8.6
Besançon;47.23;6.02;26/09/2026;0;SOLEIL;27.2;8
Pontarlier;46.9;6.35;22/09/2026;0;SOLEIL;23.2;7.5
Pontarlier;46.9;6.35;23/09/2026;0;SOLEIL;23.5;5.6
Pontarlier;46.9;6.35;24/09/2026;5;SOLEIL VOILÉ;19.1;5.5
Pontarlier;46.9;6.35;25/09/2026;0;SOLEIL;22.6;3.5
Pontarlier;46.9;6.35;26/09/2026;0;SOLEIL;24.6;4.2
Sancey-le-Grand;47.29;6.58;22/09/2026;0;SOLEIL;22.4;7.5
Sancey-le-Grand;47.29;6.58;23/09/2026;0;SOLEIL;24.2;6.6
Sancey-le-Grand;47.29;6.58;24/09/2026;5;SOLEIL VOILÉ;20.6;7.7
Sancey-le-Grand;47.29;6.58;25/09/2026;0;SOLEIL;23.1;5.6
Sancey-le-Grand;47.29;6.58;26/09/2026;0;SOLEIL;25.7;5.1
Dole;47.09;5.49;22/09/2026;0;SOLEIL;27.5;11.6
Dole;47.09;5.49;23/09/2026;0;SOLEIL;27.4;10.7
Dole;47.09;5.49;24/09/2026;5;SOLEIL VOILÉ;24.1;10.9
Dole;47.09;5.49;25/09/2026;0;SOLEIL;27.7;10
Dole;47.09;5.49;26/09/2026;0;SOLEIL;30;8
Lons-le-Saunier;46.67;5.55;22/09/2026;0;SOLEIL;26.4;11.6
Lons-le-Saunier;46.67;5.55;23/09/2026;0;SOLEIL;25.6;11.1
Lons-le-Saunier;46.67;5.55;24/09/2026;5;SOLEIL VOILÉ;23.6;12.6
Lons-le-Saunier;46.67;5.55;25/09/2026;0;SOLEIL;26.5;10.2
Lons-le-Saunier;46.67;5.55;26/09/2026;0;SOLEIL;28;11.6
Morez;46.52;6.02;22/09/2026;0;SOLEIL;25.6;4.6
Morez;46.52;6.02;23/09/2026;0;SOLEIL;24;2.7
Morez;46.52;6.02;24/09/2026;5;SOLEIL VOILÉ;20.6;5.1
Morez;46.52;6.02;25/09/2026;0;SOLEIL;24.2;3.2
Morez;46.52;6.02;26/09/2026;0;SOLEIL;24.6;3.2
Thoirette;46.27;5.53;22/09/2026;0;SOLEIL;28;3.7
Thoirette;46.27;5.53;23/09/2026;0;SOLEIL;26.1;3.1
Thoirette;46.27;5.53;24/09/2026;5;SOLEIL VOILÉ;23.9;6.7
Thoirette;46.27;5.53;25/09/2026;0;SOLEIL;26.4;4.7
Thoirette;46.27;5.53;26/09/2026;0;SOLEIL;27.4;5.1
Cosne-Cours-sur-Loire;47.41;2.92;22/09/2026;0;SOLEIL;26.1;8.1
Cosne-Cours-sur-Loire;47.41;2.92;23/09/2026;0;SOLEIL;27.7;6.5
Cosne-Cours-sur-Loire;47.41;2.92;24/09/2026;5;SOLEIL VOILÉ;25.9;9
Cosne-Cours-sur-Loire;47.41;2.92;25/09/2026;0;SOLEIL;27.5;8.5
Cosne-Cours-sur-Loire;47.41;2.92;26/09/2026;0;SOLEIL;28.1;8.1
