Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Lannion;48.73;-3.46;18/09/2026;5;SOLEIL VOILÉ;23.5;10.1
Lannion;48.73;-3.46;19/09/2026;0;SOLEIL;25;12.1
Lannion;48.73;-3.46;20/09/2026;2;NUAGEUX;24.1;15.1
Lannion;48.73;-3.46;21/09/2026;0;SOLEIL;25.1;12.2
Lannion;48.73;-3.46;22/09/2026;0;SOLEIL;25.2;11.6
Merdrignac;48.19;-2.41;18/09/2026;5;SOLEIL VOILÉ;21;12.1
Merdrignac;48.19;-2.41;19/09/2026;2;NUAGEUX;22.6;13.6
Merdrignac;48.19;-2.41;20/09/2026;5;SOLEIL VOILÉ;22.5;14.9
Merdrignac;48.19;-2.41;21/09/2026;0;SOLEIL;21.4;11.1
Merdrignac;48.19;-2.41;22/09/2026;0;SOLEIL;23.4;10.5
Rostrenen;48.23;-3.31;18/09/2026;5;SOLEIL VOILÉ;21.7;9.4
Rostrenen;48.23;-3.31;19/09/2026;2;NUAGEUX;23.1;11.2
Rostrenen;48.23;-3.31;20/09/2026;2;NUAGEUX;23.6;14.6
Rostrenen;48.23;-3.31;21/09/2026;0;SOLEIL;23.1;12.1
Rostrenen;48.23;-3.31;22/09/2026;0;SOLEIL;23.4;10.6
Saint-Brieuc;48.51;-2.76;18/09/2026;5;SOLEIL VOILÉ;21.1;10.5
Saint-Brieuc;48.51;-2.76;19/09/2026;2;NUAGEUX;21.2;12.1
Saint-Brieuc;48.51;-2.76;20/09/2026;2;NUAGEUX;21.9;14.6
Saint-Brieuc;48.51;-2.76;21/09/2026;0;SOLEIL;23.2;11.1
Saint-Brieuc;48.51;-2.76;22/09/2026;0;SOLEIL;22.7;11
Brest;48.39;-4.48;18/09/2026;5;SOLEIL VOILÉ;21.4;11.1
Brest;48.39;-4.48;19/09/2026;2;NUAGEUX;22.4;14
Brest;48.39;-4.48;20/09/2026;2;NUAGEUX;22;15.4
Brest;48.39;-4.48;21/09/2026;0;SOLEIL;20.9;13.5
Brest;48.39;-4.48;22/09/2026;0;SOLEIL;22.1;12.6
Île-de-Sein;48.03;-4.85;18/09/2026;5;SOLEIL VOILÉ;20.1;11.6
Île-de-Sein;48.03;-4.85;19/09/2026;2;NUAGEUX;20.9;15.5
Île-de-Sein;48.03;-4.85;20/09/2026;2;NUAGEUX;21.4;15.7
Île-de-Sein;48.03;-4.85;21/09/2026;0;SOLEIL;23.1;13.4
Île-de-Sein;48.03;-4.85;22/09/2026;0;SOLEIL;24.7;13
Morlaix;48.57;-3.82;18/09/2026;5;SOLEIL VOILÉ;21.1;12.6
Morlaix;48.57;-3.82;19/09/2026;2;NUAGEUX;20.1;16.1
Morlaix;48.57;-3.82;20/09/2026;0;SOLEIL;20.5;16.4
Morlaix;48.57;-3.82;21/09/2026;0;SOLEIL;20.4;15.2
Morlaix;48.57;-3.82;22/09/2026;0;SOLEIL;21.6;15.1
Ouessant;48.45;-5.09;18/09/2026;5;SOLEIL VOILÉ;21.1;10.9
Ouessant;48.45;-5.09;19/09/2026;2;NUAGEUX;21.7;14
Ouessant;48.45;-5.09;20/09/2026;2;NUAGEUX;22;14.9
Ouessant;48.45;-5.09;21/09/2026;0;SOLEIL;21.7;12.1
Ouessant;48.45;-5.09;22/09/2026;0;SOLEIL;23.9;11.4
Quimper;47.99;-4.09;18/09/2026;2;NUAGEUX;19.7;13.9
Quimper;47.99;-4.09;19/09/2026;5;SOLEIL VOILÉ;20.9;15.2
Quimper;47.99;-4.09;20/09/2026;0;SOLEIL;20.7;15.6
Quimper;47.99;-4.09;21/09/2026;6;AVERSES;18.6;14.1
Quimper;47.99;-4.09;22/09/2026;0;SOLEIL;19.1;13.6
Fougères;48.35;-1.2;18/09/2026;5;SOLEIL VOILÉ;21.2;9.9
Fougères;48.35;-1.2;19/09/2026;2;NUAGEUX;21.6;13.5
Fougères;48.35;-1.2;20/09/2026;2;NUAGEUX;22.6;14.4
Fougères;48.35;-1.2;21/09/2026;0;SOLEIL;24.6;12.4
Fougères;48.35;-1.2;22/09/2026;0;SOLEIL;24.5;12.6
