Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Ajaccio;41.92;8.73;24/09/2026;0;SOLEIL;30.6;19.4
Ajaccio;41.92;8.73;25/09/2026;5;SOLEIL VOILÉ;29.2;17.1
Ajaccio;41.92;8.73;26/09/2026;0;SOLEIL;28.6;17.1
Ajaccio;41.92;8.73;27/09/2026;0;SOLEIL;28;17.1
Ajaccio;41.92;8.73;28/09/2026;0;SOLEIL;28.5;16.5
Figari;41.48;9.09;24/09/2026;0;SOLEIL;29.6;11.4
Figari;41.48;9.09;25/09/2026;5;SOLEIL VOILÉ;29.2;15.6
Figari;41.48;9.09;26/09/2026;0;SOLEIL;29.6;16.7
Figari;41.48;9.09;27/09/2026;0;SOLEIL;28.7;14.7
Figari;41.48;9.09;28/09/2026;0;SOLEIL;29.2;14.4
Porto-Vecchio;41.59;9.27;24/09/2026;0;SOLEIL;31.6;13.9
Porto-Vecchio;41.59;9.27;25/09/2026;5;SOLEIL VOILÉ;28.5;15.4
Porto-Vecchio;41.59;9.27;26/09/2026;0;SOLEIL;28.4;18.4
Porto-Vecchio;41.59;9.27;27/09/2026;0;SOLEIL;28.1;15.6
Porto-Vecchio;41.59;9.27;28/09/2026;0;SOLEIL;28.1;15.6
Sartène;41.62;8.97;24/09/2026;0;SOLEIL;28;16.5
Sartène;41.62;8.97;25/09/2026;5;SOLEIL VOILÉ;28.6;17.5
Sartène;41.62;8.97;26/09/2026;0;SOLEIL;28.1;18
Sartène;41.62;8.97;27/09/2026;0;SOLEIL;29.1;18
Sartène;41.62;8.97;28/09/2026;0;SOLEIL;29.7;18.2
Zévaco;41.89;9.05;24/09/2026;0;SOLEIL;26.1;15.4
Zévaco;41.89;9.05;25/09/2026;5;SOLEIL VOILÉ;26.1;14.5
Zévaco;41.89;9.05;26/09/2026;0;SOLEIL;25.2;15.6
Zévaco;41.89;9.05;27/09/2026;0;SOLEIL;25.7;14.6
Zévaco;41.89;9.05;28/09/2026;0;SOLEIL;26.6;15.5
Bastia;42.69;9.45;24/09/2026;5;SOLEIL VOILÉ;28;22.4
Bastia;42.69;9.45;25/09/2026;5;SOLEIL VOILÉ;28.6;21.6
Bastia;42.69;9.45;26/09/2026;0;SOLEIL;28.1;20.7
Bastia;42.69;9.45;27/09/2026;0;SOLEIL;26.6;18.6
Bastia;42.69;9.45;28/09/2026;0;SOLEIL;26.6;18.6
Calvi;42.56;8.75;24/09/2026;5;SOLEIL VOILÉ;28;19
Calvi;42.56;8.75;25/09/2026;5;SOLEIL VOILÉ;27.7;20.1
Calvi;42.56;8.75;26/09/2026;0;SOLEIL;27.9;18.2
Calvi;42.56;8.75;27/09/2026;0;SOLEIL;25.7;17.1
Calvi;42.56;8.75;28/09/2026;0;SOLEIL;25.9;17.1
Cervione;42.33;9.49;24/09/2026;0;SOLEIL;26.1;17.4
Cervione;42.33;9.49;25/09/2026;5;SOLEIL VOILÉ;24.9;18
Cervione;42.33;9.49;26/09/2026;0;SOLEIL;24.9;17.6
Cervione;42.33;9.49;27/09/2026;0;SOLEIL;24.9;15.6
Cervione;42.33;9.49;28/09/2026;0;SOLEIL;25.1;15.5
Corte;42.3;9.15;24/09/2026;0;SOLEIL;27.9;12.5
Corte;42.3;9.15;25/09/2026;5;SOLEIL VOILÉ;26.6;13.5
Corte;42.3;9.15;26/09/2026;0;SOLEIL;27;10.9
Corte;42.3;9.15;27/09/2026;0;SOLEIL;26.6;10.5
Corte;42.3;9.15;28/09/2026;0;SOLEIL;26.6;10.5
Pietralba;42.54;9.18;24/09/2026;0;SOLEIL;24.9;14.6
Pietralba;42.54;9.18;25/09/2026;5;SOLEIL VOILÉ;25.2;14.5
Pietralba;42.54;9.18;26/09/2026;0;SOLEIL;25.4;14.1
Pietralba;42.54;9.18;27/09/2026;0;SOLEIL;25.1;13.6
Pietralba;42.54;9.18;28/09/2026;0;SOLEIL;25.4;14
Prunelli-di-Fiumorbo;42.01;9.32;24/09/2026;0;SOLEIL;24.7;13.1
Prunelli-di-Fiumorbo;42.01;9.32;25/09/2026;5;SOLEIL VOILÉ;24.4;16
Prunelli-di-Fiumorbo;42.01;9.32;26/09/2026;0;SOLEIL;25.4;14.1
Prunelli-di-Fiumorbo;42.01;9.32;27/09/2026;0;SOLEIL;25.1;14.2
Prunelli-di-Fiumorbo;42.01;9.32;28/09/2026;0;SOLEIL;25.1;14.1
Rogliano;42.95;9.41;24/09/2026;5;SOLEIL VOILÉ;26.6;16.4
Rogliano;42.95;9.41;25/09/2026;0;SOLEIL;24.5;18.6
Rogliano;42.95;9.41;26/09/2026;0;SOLEIL;25;16.4
Rogliano;42.95;9.41;27/09/2026;0;SOLEIL;24.6;16
Rogliano;42.95;9.41;28/09/2026;0;SOLEIL;25;19.1
Vico;42.16;8.8;24/09/2026;0;SOLEIL;27;13.5
Vico;42.16;8.8;25/09/2026;5;SOLEIL VOILÉ;27.5;12
Vico;42.16;8.8;26/09/2026;0;SOLEIL;26.2;11.5
Vico;42.16;8.8;27/09/2026;0;SOLEIL;26.7;11.4
Vico;42.16;8.8;28/09/2026;0;SOLEIL;27.2;11.1
