Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Argent-sur-Sauldre;47.56;2.45;15/09/2026;0;SOLEIL;33.4;12.7
Argent-sur-Sauldre;47.56;2.45;16/09/2026;0;SOLEIL;23.5;12.7
Argent-sur-Sauldre;47.56;2.45;17/09/2026;2;NUAGEUX;22.6;9.6
Argent-sur-Sauldre;47.56;2.45;18/09/2026;7;PLUIE FAIBLE;22.2;11.6
Argent-sur-Sauldre;47.56;2.45;19/09/2026;2;NUAGEUX;24.1;11.2
Bourges;47.08;2.39;15/09/2026;0;SOLEIL;32.6;13.5
Bourges;47.08;2.39;16/09/2026;0;SOLEIL;21.6;14.9
Bourges;47.08;2.39;17/09/2026;5;SOLEIL VOILÉ;21.7;9.2
Bourges;47.08;2.39;18/09/2026;6;AVERSES;21.6;11.5
Bourges;47.08;2.39;19/09/2026;0;SOLEIL;23.5;9.6
Saint-Amand-Montrond;46.72;2.5;15/09/2026;0;SOLEIL;33.2;15.7
Saint-Amand-Montrond;46.72;2.5;16/09/2026;0;SOLEIL;22.4;16.2
Saint-Amand-Montrond;46.72;2.5;17/09/2026;5;SOLEIL VOILÉ;22.7;11.1
Saint-Amand-Montrond;46.72;2.5;18/09/2026;6;AVERSES;21.7;13.2
Saint-Amand-Montrond;46.72;2.5;19/09/2026;0;SOLEIL;23.6;11
Sancerre;47.33;2.84;15/09/2026;0;SOLEIL;33.7;14.6
Sancerre;47.33;2.84;16/09/2026;0;SOLEIL;22.7;16.1
Sancerre;47.33;2.84;17/09/2026;5;SOLEIL VOILÉ;23.4;10
Sancerre;47.33;2.84;18/09/2026;6;AVERSES;22.4;13.1
Sancerre;47.33;2.84;19/09/2026;0;SOLEIL;24.5;10.2
Chartres;48.44;1.48;15/09/2026;0;SOLEIL;31;16.7
Chartres;48.44;1.48;16/09/2026;0;SOLEIL;21.9;15.6
Chartres;48.44;1.48;17/09/2026;5;SOLEIL VOILÉ;21.9;10.6
Chartres;48.44;1.48;18/09/2026;6;AVERSES;21;12.2
Chartres;48.44;1.48;19/09/2026;0;SOLEIL;22.6;10.7
Châteaudun;48.07;1.33;15/09/2026;0;SOLEIL;32.5;15.1
Châteaudun;48.07;1.33;16/09/2026;0;SOLEIL;23.1;13
Châteaudun;48.07;1.33;17/09/2026;2;NUAGEUX;20.6;11
Châteaudun;48.07;1.33;18/09/2026;2;NUAGEUX;20.7;10.6
Châteaudun;48.07;1.33;19/09/2026;2;NUAGEUX;22.5;12
Dreux;48.73;1.36;15/09/2026;0;SOLEIL;32.4;14.9
Dreux;48.73;1.36;16/09/2026;0;SOLEIL;23;12.7
Dreux;48.73;1.36;17/09/2026;2;NUAGEUX;20.1;11.2
Dreux;48.73;1.36;18/09/2026;6;AVERSES;20.2;11.1
Dreux;48.73;1.36;19/09/2026;2;NUAGEUX;22.2;11.5
Nogent-le-Rotrou;48.32;0.82;15/09/2026;0;SOLEIL;32.6;15
Nogent-le-Rotrou;48.32;0.82;16/09/2026;0;SOLEIL;22.4;12.6
Nogent-le-Rotrou;48.32;0.82;17/09/2026;2;NUAGEUX;21.5;10.6
Nogent-le-Rotrou;48.32;0.82;18/09/2026;2;NUAGEUX;21.6;11
Nogent-le-Rotrou;48.32;0.82;19/09/2026;2;NUAGEUX;23.2;12.4
Châteauroux;46.81;1.69;15/09/2026;0;SOLEIL;31.6;14.6
Châteauroux;46.81;1.69;16/09/2026;0;SOLEIL;21.7;11.4
Châteauroux;46.81;1.69;17/09/2026;2;NUAGEUX;21;10
Châteauroux;46.81;1.69;18/09/2026;6;AVERSES;20.2;9.6
Châteauroux;46.81;1.69;19/09/2026;7;PLUIE FAIBLE;21.9;11.4
Écueillé;47.08;1.34;15/09/2026;0;SOLEIL;33.5;16.1
Écueillé;47.08;1.34;16/09/2026;0;SOLEIL;22.7;15.7
Écueillé;47.08;1.34;17/09/2026;5;SOLEIL VOILÉ;23.1;11.1
Écueillé;47.08;1.34;18/09/2026;6;AVERSES;22.6;13.6
Écueillé;47.08;1.34;19/09/2026;0;SOLEIL;24.9;11.1
Éguzon-Chantôme;46.44;1.58;15/09/2026;0;SOLEIL;32.7;15.2
Éguzon-Chantôme;46.44;1.58;16/09/2026;0;SOLEIL;22.5;14.6
Éguzon-Chantôme;46.44;1.58;17/09/2026;5;SOLEIL VOILÉ;22.6;10.4
Éguzon-Chantôme;46.44;1.58;18/09/2026;2;NUAGEUX;22.1;12.6
Éguzon-Chantôme;46.44;1.58;19/09/2026;0;SOLEIL;24.2;11.1
Le Blanc;46.63;1.06;15/09/2026;0;SOLEIL;33.1;14
Le Blanc;46.63;1.06;16/09/2026;0;SOLEIL;21.4;14.5
Le Blanc;46.63;1.06;17/09/2026;2;NUAGEUX;22.1;9.4
