Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Charleville-Mézières;49.76;4.71;24/09/2026;5;SOLEIL VOILÉ;25.1;15.1
Charleville-Mézières;49.76;4.71;25/09/2026;0;SOLEIL;26.5;14.1
Charleville-Mézières;49.76;4.71;26/09/2026;0;SOLEIL;25.6;14.6
Charleville-Mézières;49.76;4.71;27/09/2026;2;NUAGEUX;24.2;15.7
Charleville-Mézières;49.76;4.71;28/09/2026;7;PLUIE FAIBLE;23.2;16.6
Rethel;49.51;4.36;24/09/2026;5;SOLEIL VOILÉ;22.7;11.1
Rethel;49.51;4.36;25/09/2026;0;SOLEIL;24.1;5.7
Rethel;49.51;4.36;26/09/2026;0;SOLEIL;26.5;4.4
Rethel;49.51;4.36;27/09/2026;0;SOLEIL;24.5;9.2
Rethel;49.51;4.36;28/09/2026;7;PLUIE FAIBLE;22.4;12.9
Nogent-sur-Seine;48.49;3.5;24/09/2026;5;SOLEIL VOILÉ;23.2;11.9
Nogent-sur-Seine;48.49;3.5;25/09/2026;0;SOLEIL;26.5;8.1
Nogent-sur-Seine;48.49;3.5;26/09/2026;0;SOLEIL;27.7;6.6
Nogent-sur-Seine;48.49;3.5;27/09/2026;0;SOLEIL;26.1;11.2
Nogent-sur-Seine;48.49;3.5;28/09/2026;7;PLUIE FAIBLE;24.2;14.1
Troyes;48.3;4.07;24/09/2026;5;SOLEIL VOILÉ;25.1;9.4
Troyes;48.3;4.07;25/09/2026;0;SOLEIL;27.9;8.2
Troyes;48.3;4.07;26/09/2026;0;SOLEIL;27.4;8.2
Troyes;48.3;4.07;27/09/2026;2;NUAGEUX;26.2;11.2
Troyes;48.3;4.07;28/09/2026;7;PLUIE FAIBLE;23.7;14.1
Vitry-le-Croisé;48.15;4.65;24/09/2026;5;SOLEIL VOILÉ;24.9;10.6
Vitry-le-Croisé;48.15;4.65;25/09/2026;0;SOLEIL;27.4;9.5
