Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Amiens;49.894;2.295;18/09/2026;2;NUAGEUX;20.4;11.6
Amiens;49.894;2.295;19/09/2026;2;NUAGEUX;22.6;14.6
Amiens;49.894;2.295;20/09/2026;5;SOLEIL VOILÉ;22.2;16.4
Amiens;49.894;2.295;21/09/2026;0;SOLEIL;20.1;12.1
Amiens;49.894;2.295;22/09/2026;0;SOLEIL;21.4;13
Château-Thierry;49.046;3.403;18/09/2026;2;NUAGEUX;20.6;12.1
Château-Thierry;49.046;3.403;19/09/2026;5;SOLEIL VOILÉ;23.2;13.7
Château-Thierry;49.046;3.403;20/09/2026;2;NUAGEUX;21.5;15.5
Château-Thierry;49.046;3.403;21/09/2026;0;SOLEIL;20.9;11
Château-Thierry;49.046;3.403;22/09/2026;0;SOLEIL;22.7;11.2
Laon;49.56;3.62;18/09/2026;2;NUAGEUX;22.5;9.2
Laon;49.56;3.62;19/09/2026;5;SOLEIL VOILÉ;26.5;9.4
Laon;49.56;3.62;20/09/2026;2;NUAGEUX;26;10.5
Laon;49.56;3.62;21/09/2026;0;SOLEIL;22.7;10.1
Laon;49.56;3.62;22/09/2026;0;SOLEIL;24.1;8
Saint-Quentin;49.85;3.29;18/09/2026;2;NUAGEUX;21;12.7
Saint-Quentin;49.85;3.29;19/09/2026;5;SOLEIL VOILÉ;24.6;13.1
Saint-Quentin;49.85;3.29;20/09/2026;2;NUAGEUX;22.7;14
Saint-Quentin;49.85;3.29;21/09/2026;0;SOLEIL;20.9;10.6
Saint-Quentin;49.85;3.29;22/09/2026;0;SOLEIL;22.6;10.4
Soissons;49.38;3.32;18/09/2026;2;NUAGEUX;21.2;11.1
Soissons;49.38;3.32;19/09/2026;5;SOLEIL VOILÉ;25.1;13
Soissons;49.38;3.32;20/09/2026;2;NUAGEUX;22.9;14.1
Soissons;49.38;3.32;21/09/2026;0;SOLEIL;21.9;10.9
Soissons;49.38;3.32;22/09/2026;0;SOLEIL;23.1;11
Vervins;49.83;3.91;18/09/2026;2;NUAGEUX;22.6;11.1
Vervins;49.83;3.91;19/09/2026;5;SOLEIL VOILÉ;26.6;11.9
Vervins;49.83;3.91;20/09/2026;2;NUAGEUX;25.6;13.1
Vervins;49.83;3.91;21/09/2026;0;SOLEIL;23.1;10.4
Vervins;49.83;3.91;22/09/2026;0;SOLEIL;24.1;9.2
Avesnes-sur-Helpe;50.12;3.93;18/09/2026;2;NUAGEUX;20.6;10.6
Avesnes-sur-Helpe;50.12;3.93;19/09/2026;5;SOLEIL VOILÉ;23.4;11.6
Avesnes-sur-Helpe;50.12;3.93;20/09/2026;2;NUAGEUX;20.4;13.4
Avesnes-sur-Helpe;50.12;3.93;21/09/2026;0;SOLEIL;20.6;10.1
Avesnes-sur-Helpe;50.12;3.93;22/09/2026;0;SOLEIL;22.4;10.4
Cambrai;50.17;3.23;18/09/2026;2;NUAGEUX;20.1;10.6
Cambrai;50.17;3.23;19/09/2026;5;SOLEIL VOILÉ;24.2;13.1
Cambrai;50.17;3.23;20/09/2026;2;NUAGEUX;21;13.9
Cambrai;50.17;3.23;21/09/2026;0;SOLEIL;21.6;9.7
Cambrai;50.17;3.23;22/09/2026;0;SOLEIL;23.7;9.6
Dunkerque;51.03;2.37;18/09/2026;2;NUAGEUX;20.4;11.9
Dunkerque;51.03;2.37;19/09/2026;5;SOLEIL VOILÉ;23.6;13.2
Dunkerque;51.03;2.37;20/09/2026;5;SOLEIL VOILÉ;22.1;15.1
Dunkerque;51.03;2.37;21/09/2026;0;SOLEIL;20.7;11.2
Dunkerque;51.03;2.37;22/09/2026;0;SOLEIL;21.6;11.1
Hazebrouck;50.72;2.53;18/09/2026;0;SOLEIL;19.4;12.1
Hazebrouck;50.72;2.53;19/09/2026;2;NUAGEUX;21.4;16.9
Hazebrouck;50.72;2.53;20/09/2026;5;SOLEIL VOILÉ;19.9;17
Hazebrouck;50.72;2.53;21/09/2026;0;SOLEIL;18.7;14.2
Hazebrouck;50.72;2.53;22/09/2026;0;SOLEIL;20.6;14.5
Lille;50.62;3.05;18/09/2026;2;NUAGEUX;20.1;10
Lille;50.62;3.05;19/09/2026;2;NUAGEUX;21.6;15.5
Lille;50.62;3.05;20/09/2026;5;SOLEIL VOILÉ;21.5;16.1
Lille;50.62;3.05;21/09/2026;0;SOLEIL;20.4;11.6
Lille;50.62;3.05;22/09/2026;0;SOLEIL;22.1;12.1
Valenciennes;50.36;3.52;18/09/2026;2;NUAGEUX;19.9;11.4
Valenciennes;50.36;3.52;19/09/2026;5;SOLEIL VOILÉ;23.4;13.7
Valenciennes;50.36;3.52;20/09/2026;5;SOLEIL VOILÉ;21.6;15.6
Valenciennes;50.36;3.52;21/09/2026;0;SOLEIL;20.7;11.1
Valenciennes;50.36;3.52;22/09/2026;0;SOLEIL;21.9;11.1
Beauvais;49.43;2.08;18/09/2026;2;NUAGEUX;21.1;10.6
Beauvais;49.43;2.08;19/09/2026;0;SOLEIL;23.6;12.6
Beauvais;49.43;2.08;20/09/2026;2;NUAGEUX;22.1;13.1
Beauvais;49.43;2.08;21/09/2026;0;SOLEIL;21.6;10.1
Beauvais;49.43;2.08;22/09/2026;0;SOLEIL;22.4;8.9
Compiègne;49.41;2.82;18/09/2026;2;NUAGEUX;21.6;11.1
Compiègne;49.41;2.82;19/09/2026;5;SOLEIL VOILÉ;25.1;12.4
Compiègne;49.41;2.82;20/09/2026;2;NUAGEUX;23.1;12
Compiègne;49.41;2.82;21/09/2026;0;SOLEIL;22.1;10.7
Compiègne;49.41;2.82;22/09/2026;0;SOLEIL;23.4;10.1
Senlis;49.207;2.585;18/09/2026;2;NUAGEUX;22.2;11
Senlis;49.207;2.585;19/09/2026;5;SOLEIL VOILÉ;25.1;12.1
Senlis;49.207;2.585;20/09/2026;2;NUAGEUX;24.1;12.6
Senlis;49.207;2.585;21/09/2026;0;SOLEIL;22.1;10.2
Senlis;49.207;2.585;22/09/2026;0;SOLEIL;23.2;9.1
Feuquières;49.64;1.85;18/09/2026;2;NUAGEUX;19.2;10.2
Feuquières;49.64;1.85;19/09/2026;0;SOLEIL;22.1;11.6
Feuquières;49.64;1.85;20/09/2026;2;NUAGEUX;20.2;13.6
Feuquières;49.64;1.85;21/09/2026;0;SOLEIL;19.6;10.5
Feuquières;49.64;1.85;22/09/2026;0;SOLEIL;21.6;10
Rosoy-en-Multien;49.098;2.995;18/09/2026;2;NUAGEUX;22.5;9.4
Rosoy-en-Multien;49.098;2.995;19/09/2026;5;SOLEIL VOILÉ;26.2;9.9
Rosoy-en-Multien;49.098;2.995;20/09/2026;2;NUAGEUX;24.6;11.1
Rosoy-en-Multien;49.098;2.995;21/09/2026;0;SOLEIL;22.6;9.6
Rosoy-en-Multien;49.098;2.995;22/09/2026;0;SOLEIL;24;8.2
Arras;50.29;2.78;18/09/2026;2;NUAGEUX;20.1;10.6
Arras;50.29;2.78;19/09/2026;2;NUAGEUX;23.1;13.1
Arras;50.29;2.78;20/09/2026;5;SOLEIL VOILÉ;22.1;15.2
Arras;50.29;2.78;21/09/2026;0;SOLEIL;20.6;10.6
Arras;50.29;2.78;22/09/2026;0;SOLEIL;21.9;10.9
Berck;50.4;1.57;18/09/2026;2;NUAGEUX;18.9;14.6
Berck;50.4;1.57;19/09/2026;2;NUAGEUX;19.6;16.7
Berck;50.4;1.57;20/09/2026;5;SOLEIL VOILÉ;18.6;16.5
Berck;50.4;1.57;21/09/2026;0;SOLEIL;18.9;11.1
Berck;50.4;1.57;22/09/2026;0;SOLEIL;20.5;12
Calais;50.95;1.85;18/09/2026;0;SOLEIL;19.1;14.1
Calais;50.95;1.85;19/09/2026;5;SOLEIL VOILÉ;20.9;16.5
Calais;50.95;1.85;20/09/2026;5;SOLEIL VOILÉ;20.1;16.1
Calais;50.95;1.85;21/09/2026;0;SOLEIL;20;14.6
Calais;50.95;1.85;22/09/2026;0;SOLEIL;21.4;14.2
Renty;50.58;2.06;18/09/2026;2;NUAGEUX;18.6;8.9
Renty;50.58;2.06;19/09/2026;2;NUAGEUX;19.9;14.5
Renty;50.58;2.06;20/09/2026;5;SOLEIL VOILÉ;19.6;14.6
Renty;50.58;2.06;21/09/2026;0;SOLEIL;19.1;11.1
Renty;50.58;2.06;22/09/2026;0;SOLEIL;21.1;11.1
Saint-Pol-sur-Ternoise;50.38;2.33;18/09/2026;2;NUAGEUX;18.2;9.6
Saint-Pol-sur-Ternoise;50.38;2.33;19/09/2026;2;NUAGEUX;21.6;12.9
Saint-Pol-sur-Ternoise;50.38;2.33;20/09/2026;5;SOLEIL VOILÉ;21.5;14.1
Saint-Pol-sur-Ternoise;50.38;2.33;21/09/2026;0;SOLEIL;20;10.4
Saint-Pol-sur-Ternoise;50.38;2.33;22/09/2026;0;SOLEIL;21.9;10.1
Abbeville;50.11;1.83;18/09/2026;2;NUAGEUX;19.6;11.6
Abbeville;50.11;1.83;19/09/2026;2;NUAGEUX;22.5;13.6
Abbeville;50.11;1.83;20/09/2026;5;SOLEIL VOILÉ;20.7;15.1
Abbeville;50.11;1.83;21/09/2026;0;SOLEIL;20.9;11.6
Abbeville;50.11;1.83;22/09/2026;0;SOLEIL;23.1;11
Estrées-Deniécourt;49.87;2.82;18/09/2026;2;NUAGEUX;20.2;11.1
Estrées-Deniécourt;49.87;2.82;19/09/2026;5;SOLEIL VOILÉ;24.4;12.5
Estrées-Deniécourt;49.87;2.82;20/09/2026;2;NUAGEUX;21.4;14.4
Estrées-Deniécourt;49.87;2.82;21/09/2026;0;SOLEIL;21.6;10.7
Estrées-Deniécourt;49.87;2.82;22/09/2026;0;SOLEIL;22.9;10.7
Montdidier;49.65;2.57;18/09/2026;2;NUAGEUX;21.1;10.6
Montdidier;49.65;2.57;19/09/2026;5;SOLEIL VOILÉ;24;12.2
Montdidier;49.65;2.57;20/09/2026;2;NUAGEUX;21.7;12.4
Montdidier;49.65;2.57;21/09/2026;0;SOLEIL;21.5;10.6
Montdidier;49.65;2.57;22/09/2026;0;SOLEIL;22.6;10.4
Boulogne-sur-Mer;50.726;1.614;18/09/2026;2;NUAGEUX;18.6;14.4
Boulogne-sur-Mer;50.726;1.614;19/09/2026;2;NUAGEUX;19.9;16.5
Boulogne-sur-Mer;50.726;1.614;20/09/2026;5;SOLEIL VOILÉ;19.1;15.1
Boulogne-sur-Mer;50.726;1.614;21/09/2026;0;SOLEIL;17.5;13.5
Boulogne-sur-Mer;50.726;1.614;22/09/2026;0;SOLEIL;19.1;14.2
