Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Angoulême;45.65;0.15;20/09/2026;0;SOLEIL;30.2;13.5
Angoulême;45.65;0.15;21/09/2026;0;SOLEIL;32.4;15
Angoulême;45.65;0.15;22/09/2026;0;SOLEIL;31.1;15.1
Angoulême;45.65;0.15;23/09/2026;0;SOLEIL;30.4;13.2
Angoulême;45.65;0.15;24/09/2026;2;NUAGEUX;29.9;14.1
La Rochelle;46.16;-1.15;20/09/2026;5;SOLEIL VOILÉ;29;10.4
La Rochelle;46.16;-1.15;21/09/2026;0;SOLEIL;30.2;13.7
La Rochelle;46.16;-1.15;22/09/2026;0;SOLEIL;30.4;12.7
La Rochelle;46.16;-1.15;23/09/2026;0;SOLEIL;31.4;11.5
La Rochelle;46.16;-1.15;24/09/2026;2;NUAGEUX;30.2;12.2
Pons;45.58;-0.55;20/09/2026;5;SOLEIL VOILÉ;24.1;13.1
Pons;45.58;-0.55;21/09/2026;0;SOLEIL;27.5;15.5
Pons;45.58;-0.55;22/09/2026;0;SOLEIL;27.5;14.2
Pons;45.58;-0.55;23/09/2026;0;SOLEIL;25.1;14.2
Pons;45.58;-0.55;24/09/2026;2;NUAGEUX;26.1;14.1
Brive-la-Gaillarde;45.15;1.53;20/09/2026;0;SOLEIL;28.6;11.7
Brive-la-Gaillarde;45.15;1.53;21/09/2026;0;SOLEIL;29;14.6
Brive-la-Gaillarde;45.15;1.53;22/09/2026;0;SOLEIL;29.6;13.7
Brive-la-Gaillarde;45.15;1.53;23/09/2026;0;SOLEIL;30.5;11.1
Brive-la-Gaillarde;45.15;1.53;24/09/2026;2;NUAGEUX;29.6;12.2
Tulle;45.26;1.77;20/09/2026;0;SOLEIL;31.7;10.7
Tulle;45.26;1.77;21/09/2026;0;SOLEIL;33.5;12.5
Tulle;45.26;1.77;22/09/2026;0;SOLEIL;33.1;12.2
Tulle;45.26;1.77;23/09/2026;0;SOLEIL;32.7;11.5
Tulle;45.26;1.77;24/09/2026;2;NUAGEUX;31.1;12.5
Guéret;46.17;1.87;20/09/2026;0;SOLEIL;31.7;8.9
Guéret;46.17;1.87;21/09/2026;5;SOLEIL VOILÉ;32.5;13
Guéret;46.17;1.87;22/09/2026;0;SOLEIL;33.4;10.6
Guéret;46.17;1.87;23/09/2026;0;SOLEIL;31.6;9.6
Guéret;46.17;1.87;24/09/2026;2;NUAGEUX;30.6;9.9
Périgueux;45.18;0.72;20/09/2026;5;SOLEIL VOILÉ;26.9;10
Périgueux;45.18;0.72;21/09/2026;5;SOLEIL VOILÉ;25.1;12.1
Périgueux;45.18;0.72;22/09/2026;0;SOLEIL;26.6;8.4
Périgueux;45.18;0.72;23/09/2026;0;SOLEIL;29.6;10.1
Périgueux;45.18;0.72;24/09/2026;2;NUAGEUX;27;10.4
Bordeaux;44.83;-0.57;20/09/2026;0;SOLEIL;30.9;10.1
Bordeaux;44.83;-0.57;21/09/2026;0;SOLEIL;32.7;11.6
Bordeaux;44.83;-0.57;22/09/2026;0;SOLEIL;33.6;11.1
Bordeaux;44.83;-0.57;23/09/2026;0;SOLEIL;31.1;11.1
Bordeaux;44.83;-0.57;24/09/2026;2;NUAGEUX;29.9;12
Mimizan;44.2;-1.23;20/09/2026;0;SOLEIL;27.5;10.9
Mimizan;44.2;-1.23;21/09/2026;0;SOLEIL;28.1;12.4
Mimizan;44.2;-1.23;22/09/2026;0;SOLEIL;26.7;13
Mimizan;44.2;-1.23;23/09/2026;0;SOLEIL;26.5;14.6
Mimizan;44.2;-1.23;24/09/2026;0;SOLEIL;28.7;12.2
Mont-de-Marsan;43.89;-0.5;20/09/2026;0;SOLEIL;30.1;9.9
Mont-de-Marsan;43.89;-0.5;21/09/2026;0;SOLEIL;31.5;9.7
Mont-de-Marsan;43.89;-0.5;22/09/2026;0;SOLEIL;30.6;11.4
Mont-de-Marsan;43.89;-0.5;23/09/2026;0;SOLEIL;30.5;12.2
Mont-de-Marsan;43.89;-0.5;24/09/2026;2;NUAGEUX;31.4;13.1
Agen;44.2;0.61;20/09/2026;0;SOLEIL;30.6;9
Agen;44.2;0.61;21/09/2026;0;SOLEIL;31.6;9.6
Agen;44.2;0.61;22/09/2026;0;SOLEIL;30;11.9
Agen;44.2;0.61;23/09/2026;0;SOLEIL;30.6;11.4
Agen;44.2;0.61;24/09/2026;2;NUAGEUX;29.4;12.1
Marmande;44.5;0.16;20/09/2026;0;SOLEIL;30.7;12.6
Marmande;44.5;0.16;21/09/2026;0;SOLEIL;32.7;14.2
Marmande;44.5;0.16;22/09/2026;0;SOLEIL;30.4;13.9
Marmande;44.5;0.16;23/09/2026;0;SOLEIL;31.4;12.7
Marmande;44.5;0.16;24/09/2026;2;NUAGEUX;29.5;13.5
Bayonne;43.49;-1.47;20/09/2026;0;SOLEIL;25.6;12.5
Bayonne;43.49;-1.47;21/09/2026;0;SOLEIL;25.1;14.5
Bayonne;43.49;-1.47;22/09/2026;0;SOLEIL;24.6;15.5
Bayonne;43.49;-1.47;23/09/2026;0;SOLEIL;25.1;16
Bayonne;43.49;-1.47;24/09/2026;0;SOLEIL;29.5;14.2
Oloron-Sainte-Marie;43.19;-0.6;20/09/2026;0;SOLEIL;29;10.6
Oloron-Sainte-Marie;43.19;-0.6;21/09/2026;0;SOLEIL;30.4;11.2
Oloron-Sainte-Marie;43.19;-0.6;22/09/2026;0;SOLEIL;29.5;12.6
Oloron-Sainte-Marie;43.19;-0.6;23/09/2026;0;SOLEIL;28.6;12.6
Oloron-Sainte-Marie;43.19;-0.6;24/09/2026;0;SOLEIL;30.6;12.2
Pau;43.3;-0.37;20/09/2026;0;SOLEIL;30.1;13
Pau;43.3;-0.37;21/09/2026;0;SOLEIL;32.1;13.7
Pau;43.3;-0.37;22/09/2026;0;SOLEIL;31.5;14.5
Pau;43.3;-0.37;23/09/2026;0;SOLEIL;29.6;15
Pau;43.3;-0.37;24/09/2026;0;SOLEIL;31.6;15
Saint-Jean-de-Luz;43.38;-1.66;20/09/2026;0;SOLEIL;24.6;13.6
Saint-Jean-de-Luz;43.38;-1.66;21/09/2026;0;SOLEIL;24.6;14.4
Saint-Jean-de-Luz;43.38;-1.66;22/09/2026;0;SOLEIL;24.6;14.7
Saint-Jean-de-Luz;43.38;-1.66;23/09/2026;0;SOLEIL;26.1;13.5
Saint-Jean-de-Luz;43.38;-1.66;24/09/2026;6;AVERSES;29.1;12.1
Niort;46.32;-0.46;20/09/2026;5;SOLEIL VOILÉ;27.7;11.2
Niort;46.32;-0.46;21/09/2026;0;SOLEIL;28;15.2
Niort;46.32;-0.46;22/09/2026;0;SOLEIL;29;14
Niort;46.32;-0.46;23/09/2026;0;SOLEIL;29.6;12.7
Niort;46.32;-0.46;24/09/2026;2;NUAGEUX;28.1;13.2
Poitiers;46.58;0.34;20/09/2026;5;SOLEIL VOILÉ;26.1;11.6
Poitiers;46.58;0.34;21/09/2026;0;SOLEIL;27;13.5
Poitiers;46.58;0.34;22/09/2026;0;SOLEIL;27.6;12.1
Poitiers;46.58;0.34;23/09/2026;0;SOLEIL;28.9;11.6
Poitiers;46.58;0.34;24/09/2026;2;NUAGEUX;26.9;11.6
Limoges;45.83;1.26;20/09/2026;5;SOLEIL VOILÉ;28.5;9.7
Limoges;45.83;1.26;21/09/2026;0;SOLEIL;29.9;13.4
Limoges;45.83;1.26;22/09/2026;0;SOLEIL;30.7;10.6
Limoges;45.83;1.26;23/09/2026;0;SOLEIL;31;8.2
Limoges;45.83;1.26;24/09/2026;2;NUAGEUX;28.9;10.2
