Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Foix;42.96;1.6;14/09/2026;0;SOLEIL;33.1;16.1
Foix;42.96;1.6;15/09/2026;0;SOLEIL;35.5;17.6
Foix;42.96;1.6;16/09/2026;0;SOLEIL;24.7;18.6
Foix;42.96;1.6;17/09/2026;0;SOLEIL;24.7;15.1
Foix;42.96;1.6;18/09/2026;2;NUAGEUX;25.6;14.6
Carcassonne;43.21;2.35;14/09/2026;0;SOLEIL;31.6;12.6
Carcassonne;43.21;2.35;15/09/2026;0;SOLEIL;33.6;16.6
Carcassonne;43.21;2.35;16/09/2026;6;AVERSES;21.4;16.1
Carcassonne;43.21;2.35;17/09/2026;0;SOLEIL;23.4;12
Carcassonne;43.21;2.35;18/09/2026;0;SOLEIL;24.4;11.2
Laguiole;44.68;2.85;14/09/2026;0;SOLEIL;34.1;15
Laguiole;44.68;2.85;15/09/2026;0;SOLEIL;33.4;16.6
Laguiole;44.68;2.85;16/09/2026;0;SOLEIL;25.4;18.1
Laguiole;44.68;2.85;17/09/2026;0;SOLEIL;25.7;14.6
Laguiole;44.68;2.85;18/09/2026;0;SOLEIL;26.6;14.4
Rodez;44.35;2.57;14/09/2026;0;SOLEIL;25.9;14.4
Rodez;44.35;2.57;15/09/2026;0;SOLEIL;27.4;13.6
Rodez;44.35;2.57;16/09/2026;0;SOLEIL;16.7;10.6
Rodez;44.35;2.57;17/09/2026;0;SOLEIL;17.9;7.6
Rodez;44.35;2.57;18/09/2026;7;PLUIE FAIBLE;16.5;7.6
Saint-Affrique;43.96;2.88;14/09/2026;0;SOLEIL;30;9.6
Saint-Affrique;43.96;2.88;15/09/2026;0;SOLEIL;30.6;13.4
Saint-Affrique;43.96;2.88;16/09/2026;0;SOLEIL;20.7;13.7
Saint-Affrique;43.96;2.88;17/09/2026;0;SOLEIL;21.1;7.6
Saint-Affrique;43.96;2.88;18/09/2026;6;AVERSES;20.1;8.7
Alès;44.12;4.08;14/09/2026;0;SOLEIL;34.5;12.6
Alès;44.12;4.08;15/09/2026;0;SOLEIL;33.7;13.1
Alès;44.12;4.08;16/09/2026;0;SOLEIL;24.1;17.1
Alès;44.12;4.08;17/09/2026;0;SOLEIL;24.6;9.6
Alès;44.12;4.08;18/09/2026;2;NUAGEUX;24.2;10.5
Nîmes;43.83;4.36;14/09/2026;0;SOLEIL;35.1;18.6
Nîmes;43.83;4.36;15/09/2026;0;SOLEIL;32.9;17.6
Nîmes;43.83;4.36;16/09/2026;0;SOLEIL;31.1;17.9
Nîmes;43.83;4.36;17/09/2026;0;SOLEIL;29;14.5
Nîmes;43.83;4.36;18/09/2026;0;SOLEIL;29;12.1
Saint-Gaudens;43.1;0.72;14/09/2026;0;SOLEIL;35.2;19.6
Saint-Gaudens;43.1;0.72;15/09/2026;0;SOLEIL;31.1;19.4
Saint-Gaudens;43.1;0.72;16/09/2026;0;SOLEIL;30.5;18.6
Saint-Gaudens;43.1;0.72;17/09/2026;0;SOLEIL;28.6;17
Saint-Gaudens;43.1;0.72;18/09/2026;0;SOLEIL;28.6;16.1
Toulouse;43.6;1.44;14/09/2026;0;SOLEIL;32;11.2
Toulouse;43.6;1.44;15/09/2026;0;SOLEIL;33.6;13.6
Toulouse;43.6;1.44;16/09/2026;2;NUAGEUX;22.1;15.5
Toulouse;43.6;1.44;17/09/2026;2;NUAGEUX;22.9;12.1
Toulouse;43.6;1.44;18/09/2026;0;SOLEIL;24.1;10.5
Auch;43.64;0.58;14/09/2026;0;SOLEIL;33.6;13.5
Auch;43.64;0.58;15/09/2026;0;SOLEIL;34.5;15.2
Auch;43.64;0.58;16/09/2026;0;SOLEIL;24.5;17.6
Auch;43.64;0.58;17/09/2026;2;NUAGEUX;24.6;13
Auch;43.64;0.58;18/09/2026;2;NUAGEUX;25.1;13.5
Béziers;43.34;3.21;14/09/2026;0;SOLEIL;35.9;14.6
Béziers;43.34;3.21;15/09/2026;0;SOLEIL;29.5;18
Béziers;43.34;3.21;16/09/2026;0;SOLEIL;27.1;19.5
Béziers;43.34;3.21;17/09/2026;0;SOLEIL;27.6;15.7
Béziers;43.34;3.21;18/09/2026;0;SOLEIL;27.6;14.9
Montpellier;43.61;3.87;14/09/2026;0;SOLEIL;34.6;17.9
Montpellier;43.61;3.87;15/09/2026;0;SOLEIL;28.5;20.1
Montpellier;43.61;3.87;16/09/2026;0;SOLEIL;29.7;20.7
Montpellier;43.61;3.87;17/09/2026;0;SOLEIL;28.2;16.6
Montpellier;43.61;3.87;18/09/2026;0;SOLEIL;28.1;16.6
Cahors;44.44;1.44;14/09/2026;0;SOLEIL;34.1;10.6
Cahors;44.44;1.44;15/09/2026;0;SOLEIL;34.1;12.1
Cahors;44.44;1.44;16/09/2026;0;SOLEIL;24.7;16.1
Cahors;44.44;1.44;17/09/2026;2;NUAGEUX;25.1;10.4
Cahors;44.44;1.44;18/09/2026;7;PLUIE FAIBLE;24.5;12.1
Saint-Céré;44.86;1.89;14/09/2026;0;SOLEIL;33.9;11.9
Saint-Céré;44.86;1.89;15/09/2026;0;SOLEIL;34;12.6
Saint-Céré;44.86;1.89;16/09/2026;0;SOLEIL;23.9;15.2
Saint-Céré;44.86;1.89;17/09/2026;2;NUAGEUX;24.2;9.1
Saint-Céré;44.86;1.89;18/09/2026;7;PLUIE FAIBLE;23.5;10.7
Mende;44.51;3.5;14/09/2026;0;SOLEIL;30.4;9.2
Mende;44.51;3.5;15/09/2026;0;SOLEIL;31.1;8.9
Mende;44.51;3.5;16/09/2026;0;SOLEIL;21.9;12.9
Mende;44.51;3.5;17/09/2026;0;SOLEIL;22.2;7.5
Mende;44.51;3.5;18/09/2026;7;PLUIE FAIBLE;21.9;7.6
Tarbes;43.23;0.07;14/09/2026;0;SOLEIL;32.5;14.1
Tarbes;43.23;0.07;15/09/2026;0;SOLEIL;33;16.6
Tarbes;43.23;0.07;16/09/2026;2;NUAGEUX;23;16.4
Tarbes;43.23;0.07;17/09/2026;2;NUAGEUX;22.9;12.9
Tarbes;43.23;0.07;18/09/2026;0;SOLEIL;23.7;12.5
Font-Romeu;42.5;2.04;14/09/2026;0;SOLEIL;24.1;11.1
Font-Romeu;42.5;2.04;15/09/2026;0;SOLEIL;24.7;9.6
Font-Romeu;42.5;2.04;16/09/2026;0;SOLEIL;19.4;9.4
Font-Romeu;42.5;2.04;17/09/2026;0;SOLEIL;17.2;5.7
Font-Romeu;42.5;2.04;18/09/2026;0;SOLEIL;18.1;5.6
Perpignan;42.69;2.89;14/09/2026;0;SOLEIL;34.4;21.1
Perpignan;42.69;2.89;15/09/2026;0;SOLEIL;29.7;19.9
Perpignan;42.69;2.89;16/09/2026;0;SOLEIL;27.1;20.6
Perpignan;42.69;2.89;17/09/2026;0;SOLEIL;28.2;18.9
Perpignan;42.69;2.89;18/09/2026;0;SOLEIL;28.4;17.7
Albi;43.92;2.14;14/09/2026;0;SOLEIL;34.1;15.6
Albi;43.92;2.14;15/09/2026;0;SOLEIL;34.6;18.4
Albi;43.92;2.14;16/09/2026;0;SOLEIL;25.5;17.4
Albi;43.92;2.14;17/09/2026;0;SOLEIL;24.5;12.1
Albi;43.92;2.14;18/09/2026;2;NUAGEUX;24.6;12.6
Castres;43.6;2.24;14/09/2026;0;SOLEIL;33.2;15.1
Castres;43.6;2.24;15/09/2026;0;SOLEIL;34.1;17.4
Castres;43.6;2.24;16/09/2026;0;SOLEIL;25.1;17.1
Castres;43.6;2.24;17/09/2026;0;SOLEIL;24.7;11.5
Castres;43.6;2.24;18/09/2026;7;PLUIE FAIBLE;25;12.4
Montauban;44.01;1.35;14/09/2026;0;SOLEIL;33.6;15
Montauban;44.01;1.35;15/09/2026;0;SOLEIL;34.6;16.7
Montauban;44.01;1.35;16/09/2026;0;SOLEIL;25.1;18.4
Montauban;44.01;1.35;17/09/2026;2;NUAGEUX;25.1;14.2
Montauban;44.01;1.35;18/09/2026;2;NUAGEUX;25.6;14.7
