Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Barcelonnette;44.38;6.65;16/09/2026;0;SOLEIL;27.1;19.8
Barcelonnette;44.38;6.65;17/09/2026;0;SOLEIL;27.6;18.6
Barcelonnette;44.38;6.65;18/09/2026;0;SOLEIL;28.1;18.2
Barcelonnette;44.38;6.65;19/09/2026;0;SOLEIL;26;18
Barcelonnette;44.38;6.65;20/09/2026;0;SOLEIL;27.1;18.1
Digne-les-Bains;44.09;6.23;16/09/2026;0;SOLEIL;25.6;5.4
Digne-les-Bains;44.09;6.23;17/09/2026;0;SOLEIL;22.6;5.6
Digne-les-Bains;44.09;6.23;18/09/2026;0;SOLEIL;22.6;4.7
Digne-les-Bains;44.09;6.23;19/09/2026;0;SOLEIL;23.4;3.9
Digne-les-Bains;44.09;6.23;20/09/2026;0;SOLEIL;24.4;4.1
Forcalquier;43.96;5.78;16/09/2026;0;SOLEIL;29.5;14
Forcalquier;43.96;5.78;17/09/2026;0;SOLEIL;25.6;10.2
Forcalquier;43.96;5.78;18/09/2026;0;SOLEIL;25.7;9.2
Forcalquier;43.96;5.78;19/09/2026;0;SOLEIL;26.7;7.7
Forcalquier;43.96;5.78;20/09/2026;0;SOLEIL;27.4;9.1
Briançon;44.89;6.64;16/09/2026;0;SOLEIL;29.2;13.1
Briançon;44.89;6.64;17/09/2026;0;SOLEIL;24.9;13
Briançon;44.89;6.64;18/09/2026;0;SOLEIL;25.1;10.9
Briançon;44.89;6.64;19/09/2026;0;SOLEIL;26.4;9.5
Briançon;44.89;6.64;20/09/2026;0;SOLEIL;27.5;10
Étoile-Saint-Cyrice;44.31;5.63;16/09/2026;0;SOLEIL;25.1;9.1
Étoile-Saint-Cyrice;44.31;5.63;17/09/2026;0;SOLEIL;21.7;8.6
Étoile-Saint-Cyrice;44.31;5.63;18/09/2026;0;SOLEIL;20.6;6.6
Étoile-Saint-Cyrice;44.31;5.63;19/09/2026;0;SOLEIL;23;5.2
Étoile-Saint-Cyrice;44.31;5.63;20/09/2026;0;SOLEIL;24.1;6.5
Gap;44.56;6.07;16/09/2026;0;SOLEIL;26.9;10.4
Gap;44.56;6.07;17/09/2026;0;SOLEIL;22.7;9.1
Gap;44.56;6.07;18/09/2026;0;SOLEIL;22.4;8.4
Gap;44.56;6.07;19/09/2026;0;SOLEIL;24.6;6.1
Gap;44.56;6.07;20/09/2026;0;SOLEIL;25.4;7.1
Vallouise;44.84;6.48;16/09/2026;0;SOLEIL;30.2;14.1
Vallouise;44.84;6.48;17/09/2026;0;SOLEIL;26.1;13.2
Vallouise;44.84;6.48;18/09/2026;0;SOLEIL;24.4;11.2
Vallouise;44.84;6.48;19/09/2026;0;SOLEIL;26;9.9
Vallouise;44.84;6.48;20/09/2026;0;SOLEIL;26.6;11.7
Cannes;43.55;7.01;16/09/2026;0;SOLEIL;26.1;8.9
Cannes;43.55;7.01;17/09/2026;0;SOLEIL;22.5;9.1
Cannes;43.55;7.01;18/09/2026;0;SOLEIL;20.9;7.9
