Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Blain;47.47;-1.76;25/09/2026;0;SOLEIL;32;15
Blain;47.47;-1.76;26/09/2026;0;SOLEIL;25.1;14.7
Blain;47.47;-1.76;27/09/2026;5;SOLEIL VOILÉ;24.6;14.6
Blain;47.47;-1.76;28/09/2026;6;AVERSES;24.4;16.9
Blain;47.47;-1.76;29/09/2026;2;NUAGEUX;26.2;19.1
Châteaubriant;47.71;-1.37;25/09/2026;0;SOLEIL;32.2;12.6
Châteaubriant;47.71;-1.37;26/09/2026;0;SOLEIL;24.6;14.1
Châteaubriant;47.71;-1.37;27/09/2026;5;SOLEIL VOILÉ;24.2;12.7
Châteaubriant;47.71;-1.37;28/09/2026;6;AVERSES;24;15.6
Châteaubriant;47.71;-1.37;29/09/2026;2;NUAGEUX;26.4;17.4
NANTES;47.21;-1.55;25/09/2026;0;SOLEIL;33.1;14.6
NANTES;47.21;-1.55;26/09/2026;2;NUAGEUX;24.1;15.1
NANTES;47.21;-1.55;27/09/2026;5;SOLEIL VOILÉ;24.7;13.6
NANTES;47.21;-1.55;28/09/2026;7;PLUIE FAIBLE;22.6;15.9
NANTES;47.21;-1.55;29/09/2026;2;NUAGEUX;25.6;17.6
Saint-Nazaire;47.27;-2.21;25/09/2026;0;SOLEIL;25.6;14.4
Saint-Nazaire;47.27;-2.21;26/09/2026;0;SOLEIL;22.9;14.2
Saint-Nazaire;47.27;-2.21;27/09/2026;5;SOLEIL VOILÉ;21.6;14.9
Saint-Nazaire;47.27;-2.21;28/09/2026;6;AVERSES;23.1;16.6
Saint-Nazaire;47.27;-2.21;29/09/2026;2;NUAGEUX;24.6;18.4
Angers;47.47;-0.55;25/09/2026;0;SOLEIL;33.4;13.6
Angers;47.47;-0.55;26/09/2026;0;SOLEIL;25.1;15
Angers;47.47;-0.55;27/09/2026;5;SOLEIL VOILÉ;26;14.1
Angers;47.47;-0.55;28/09/2026;7;PLUIE FAIBLE;23.9;16.6
Angers;47.47;-0.55;29/09/2026;2;NUAGEUX;28.1;18.1
Cholet;47.06;-0.87;25/09/2026;0;SOLEIL;33.7;13.6
Cholet;47.06;-0.87;26/09/2026;0;SOLEIL;24.1;14.6
Cholet;47.06;-0.87;27/09/2026;5;SOLEIL VOILÉ;26.6;13
Cholet;47.06;-0.87;28/09/2026;6;AVERSES;24.2;16.1
Cholet;47.06;-0.87;29/09/2026;2;NUAGEUX;27.1;18.4
Nyoiseau;47.71;-0.91;25/09/2026;0;SOLEIL;32;11.6
Nyoiseau;47.71;-0.91;26/09/2026;0;SOLEIL;24.2;14.1
Nyoiseau;47.71;-0.91;27/09/2026;5;SOLEIL VOILÉ;24.9;12.7
Nyoiseau;47.71;-0.91;28/09/2026;7;PLUIE FAIBLE;22.7;15.1
Nyoiseau;47.71;-0.91;29/09/2026;2;NUAGEUX;26.6;16.7
Saumur;47.26;-0.07;25/09/2026;0;SOLEIL;34.1;13.6
Saumur;47.26;-0.07;26/09/2026;0;SOLEIL;26.4;15.1
Saumur;47.26;-0.07;27/09/2026;5;SOLEIL VOILÉ;27.7;13.9
Saumur;47.26;-0.07;28/09/2026;7;PLUIE FAIBLE;24.5;16
Saumur;47.26;-0.07;29/09/2026;2;NUAGEUX;28.7;17.9
Ernée;48.3;-0.93;25/09/2026;0;SOLEIL;30.7;12.9
