Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Ajaccio;41.92;8.73;24/09/2026;00:00;21.4;0;SOLEIL;1;11.2;0
Ajaccio;41.92;8.73;24/09/2026;01:00;21.5;0;SOLEIL;1;11.9;0
Ajaccio;41.92;8.73;24/09/2026;02:00;20.7;0;SOLEIL;1;12.6;0
Ajaccio;41.92;8.73;24/09/2026;03:00;20.6;0;SOLEIL;1;11.9;0
Ajaccio;41.92;8.73;24/09/2026;04:00;20.5;0;SOLEIL;1;12.6;0
Ajaccio;41.92;8.73;24/09/2026;05:00;19.9;0;SOLEIL;1;13.0;0
Ajaccio;41.92;8.73;24/09/2026;06:00;21.2;0;SOLEIL;1;12.6;0
Ajaccio;41.92;8.73;24/09/2026;07:00;23.7;0;SOLEIL;2;12.6;0
Ajaccio;41.92;8.73;24/09/2026;08:00;26.1;0;SOLEIL;1;12.2;0
Ajaccio;41.92;8.73;24/09/2026;09:00;27.5;0;SOLEIL;2;11.9;0
Ajaccio;41.92;8.73;24/09/2026;10:00;28.9;0;SOLEIL;3;7.6;0
Ajaccio;41.92;8.73;24/09/2026;11:00;29.6;0;SOLEIL;4;13.0;0
Ajaccio;41.92;8.73;24/09/2026;12:00;30;0;SOLEIL;3;21.6;0
Ajaccio;41.92;8.73;24/09/2026;13:00;29.7;0;SOLEIL;4;27.4;0
Ajaccio;41.92;8.73;24/09/2026;14:00;29.1;5;SOLEIL VOILÉ;3;30.6;0
Ajaccio;41.92;8.73;24/09/2026;15:00;28.1;5;SOLEIL VOILÉ;3;31.0;0
Ajaccio;41.92;8.73;24/09/2026;16:00;26.6;5;SOLEIL VOILÉ;3;30.2;0
Ajaccio;41.92;8.73;24/09/2026;17:00;25.4;5;SOLEIL VOILÉ;2;28.1;0
Ajaccio;41.92;8.73;24/09/2026;18:00;24;5;SOLEIL VOILÉ;2;26.6;0
Ajaccio;41.92;8.73;24/09/2026;19:00;23.6;5;SOLEIL VOILÉ;1;20.2;0
Ajaccio;41.92;8.73;24/09/2026;20:00;22.6;5;SOLEIL VOILÉ;1;9.7;0
Ajaccio;41.92;8.73;24/09/2026;21:00;22.1;5;SOLEIL VOILÉ;1;5.4;0
Ajaccio;41.92;8.73;24/09/2026;22:00;21.1;5;SOLEIL VOILÉ;2;8.6;0
Ajaccio;41.92;8.73;24/09/2026;23:00;21;5;SOLEIL VOILÉ;2;11.5;0
Ajaccio;41.92;8.73;25/09/2026;00:00;21.4;5;SOLEIL VOILÉ;2;12.6;0
Ajaccio;41.92;8.73;25/09/2026;01:00;21.4;5;SOLEIL VOILÉ;2;14.0;0
Ajaccio;41.92;8.73;25/09/2026;02:00;18.2;0;SOLEIL;2;14.0;0
Ajaccio;41.92;8.73;25/09/2026;03:00;18.2;0;SOLEIL;2;13.7;0
Ajaccio;41.92;8.73;25/09/2026;04:00;18.2;0;SOLEIL;2;11.9;0
Ajaccio;41.92;8.73;25/09/2026;05:00;18.1;0;SOLEIL;2;11.9;0
Ajaccio;41.92;8.73;25/09/2026;06:00;18.1;0;SOLEIL;2;12.2;0
Ajaccio;41.92;8.73;25/09/2026;07:00;18.1;0;SOLEIL;2;13.7;0
Ajaccio;41.92;8.73;25/09/2026;08:00;26.6;0;SOLEIL;2;14.4;0
Ajaccio;41.92;8.73;25/09/2026;09:00;26.6;0;SOLEIL;2;12.6;0
Ajaccio;41.92;8.73;25/09/2026;10:00;26.6;0;SOLEIL;2;13.3;0
Ajaccio;41.92;8.73;25/09/2026;11:00;28.9;5;SOLEIL VOILÉ;4;15.8;0
Ajaccio;41.92;8.73;25/09/2026;12:00;28.9;5;SOLEIL VOILÉ;4;24.1;0
Ajaccio;41.92;8.73;25/09/2026;13:00;28.9;5;SOLEIL VOILÉ;4;27.4;0
Ajaccio;41.92;8.73;25/09/2026;14:00;27.9;5;SOLEIL VOILÉ;3;31.0;0
Ajaccio;41.92;8.73;25/09/2026;15:00;27.9;5;SOLEIL VOILÉ;3;33.5;0
Ajaccio;41.92;8.73;25/09/2026;16:00;27.9;5;SOLEIL VOILÉ;3;31.0;0
Ajaccio;41.92;8.73;25/09/2026;17:00;24.4;5;SOLEIL VOILÉ;2;24.8;0
Ajaccio;41.92;8.73;25/09/2026;18:00;24.4;5;SOLEIL VOILÉ;2;21.2;0
Ajaccio;41.92;8.73;25/09/2026;19:00;24.4;5;SOLEIL VOILÉ;2;18.7;0
Ajaccio;41.92;8.73;25/09/2026;20:00;21.5;0;SOLEIL;1;11.2;0
Ajaccio;41.92;8.73;25/09/2026;21:00;21.5;0;SOLEIL;1;7.6;0
Ajaccio;41.92;8.73;25/09/2026;22:00;21.5;0;SOLEIL;1;7.6;0
Ajaccio;41.92;8.73;25/09/2026;23:00;19.6;0;SOLEIL;2;8.6;0
Ajaccio;41.92;8.73;26/09/2026;00:00;19.6;0;SOLEIL;2;10.4;0
