Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Angoulême;45.65;0.15;14/09/2026;00:00;20.5;0;SOLEIL;2;14.0;0
Angoulême;45.65;0.15;14/09/2026;01:00;19.4;0;SOLEIL;2;12.2;0
Angoulême;45.65;0.15;14/09/2026;02:00;19.3;0;SOLEIL;2;8.6;0
Angoulême;45.65;0.15;14/09/2026;03:00;18.2;0;SOLEIL;2;7.2;0
Angoulême;45.65;0.15;14/09/2026;04:00;17.9;0;SOLEIL;2;6.8;0
Angoulême;45.65;0.15;14/09/2026;05:00;17.6;0;SOLEIL;1;5.8;0
Angoulême;45.65;0.15;14/09/2026;06:00;17.4;0;SOLEIL;1;5.8;0
Angoulême;45.65;0.15;14/09/2026;07:00;19.1;0;SOLEIL;1;5.0;0
Angoulême;45.65;0.15;14/09/2026;08:00;22.9;0;SOLEIL;1;3.6;0
Angoulême;45.65;0.15;14/09/2026;09:00;25.6;0;SOLEIL;1;4.3;0
Angoulême;45.65;0.15;14/09/2026;10:00;28.5;0;SOLEIL;2;4.3;0
Angoulême;45.65;0.15;14/09/2026;11:00;30.4;0;SOLEIL;2;7.6;0
Angoulême;45.65;0.15;14/09/2026;12:00;31.6;0;SOLEIL;2;10.1;0
Angoulême;45.65;0.15;14/09/2026;13:00;32.1;0;SOLEIL;2;13.0;0
Angoulême;45.65;0.15;14/09/2026;14:00;33.1;0;SOLEIL;2;14.4;0
Angoulême;45.65;0.15;14/09/2026;15:00;34.2;0;SOLEIL;2;14.4;0
Angoulême;45.65;0.15;14/09/2026;16:00;33.5;0;SOLEIL;2;14.4;0
Angoulême;45.65;0.15;14/09/2026;17:00;33.3;0;SOLEIL;2;13.3;0
Angoulême;45.65;0.15;14/09/2026;18:00;31.2;0;SOLEIL;3;13.7;0
Angoulême;45.65;0.15;14/09/2026;19:00;29;0;SOLEIL;3;16.2;0
Angoulême;45.65;0.15;14/09/2026;20:00;27.4;0;SOLEIL;3;15.8;0
