Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Bayeux;49.28;-0.7;14/09/2026;00:00;17.2;2;NUAGEUX;2;5.8;0
Bayeux;49.28;-0.7;14/09/2026;01:00;16.6;2;NUAGEUX;1;5.8;0
Bayeux;49.28;-0.7;14/09/2026;02:00;16.3;2;NUAGEUX;1;4.3;0
Bayeux;49.28;-0.7;14/09/2026;03:00;16.5;2;NUAGEUX;1;3.2;0
Bayeux;49.28;-0.7;14/09/2026;04:00;16.5;2;NUAGEUX;1;2.9;0
Bayeux;49.28;-0.7;14/09/2026;05:00;16.5;2;NUAGEUX;1;3.6;0
Bayeux;49.28;-0.7;14/09/2026;06:00;17.1;2;NUAGEUX;1;5.4;0
Bayeux;49.28;-0.7;14/09/2026;07:00;17.4;2;NUAGEUX;1;4.7;0
Bayeux;49.28;-0.7;14/09/2026;08:00;18;2;NUAGEUX;1;5.4;0
Bayeux;49.28;-0.7;14/09/2026;09:00;18.7;2;NUAGEUX;2;6.1;0
Bayeux;49.28;-0.7;14/09/2026;10:00;20.1;2;NUAGEUX;2;10.8;0
Bayeux;49.28;-0.7;14/09/2026;11:00;21.5;2;NUAGEUX;2;12.6;0
Bayeux;49.28;-0.7;14/09/2026;12:00;23;2;NUAGEUX;2;11.9;0
Bayeux;49.28;-0.7;14/09/2026;13:00;24;2;NUAGEUX;2;12.2;0
Bayeux;49.28;-0.7;14/09/2026;14:00;24.4;2;NUAGEUX;2;14.4;0
Bayeux;49.28;-0.7;14/09/2026;15:00;25.3;2;NUAGEUX;2;14.4;0
Bayeux;49.28;-0.7;14/09/2026;16:00;24.8;0;SOLEIL;2;13.7;0
Bayeux;49.28;-0.7;14/09/2026;17:00;24.8;0;SOLEIL;2;12.6;0
Bayeux;49.28;-0.7;14/09/2026;18:00;23.6;0;SOLEIL;2;11.2;0
Bayeux;49.28;-0.7;14/09/2026;19:00;20.6;0;SOLEIL;2;13.7;0
Bayeux;49.28;-0.7;14/09/2026;20:00;19.4;0;SOLEIL;2;12.6;0
Bayeux;49.28;-0.7;14/09/2026;21:00;18.7;0;SOLEIL;2;10.8;0
