Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Foix;42.96;1.6;18/09/2026;00:00;17.8;2;NUAGEUX;3;16.9;0
Foix;42.96;1.6;18/09/2026;01:00;17.2;2;NUAGEUX;3;17.6;0
Foix;42.96;1.6;18/09/2026;02:00;17;5;SOLEIL VOILÉ;3;16.2;0
Foix;42.96;1.6;18/09/2026;03:00;16.6;5;SOLEIL VOILÉ;2;15.8;0
Foix;42.96;1.6;18/09/2026;04:00;15.7;5;SOLEIL VOILÉ;2;14.0;0
Foix;42.96;1.6;18/09/2026;05:00;15.2;5;SOLEIL VOILÉ;2;12.2;0
Foix;42.96;1.6;18/09/2026;06:00;15.6;5;SOLEIL VOILÉ;2;11.5;0
Foix;42.96;1.6;18/09/2026;07:00;17.1;0;SOLEIL;2;10.8;0
Foix;42.96;1.6;18/09/2026;08:00;18.5;0;SOLEIL;2;7.6;0
Foix;42.96;1.6;18/09/2026;09:00;19.6;0;SOLEIL;2;6.8;0
Foix;42.96;1.6;18/09/2026;10:00;21;2;NUAGEUX;2;8.3;0
Foix;42.96;1.6;18/09/2026;11:00;21.7;2;NUAGEUX;2;10.1;0
Foix;42.96;1.6;18/09/2026;12:00;22.6;2;NUAGEUX;3;15.5;0
Foix;42.96;1.6;18/09/2026;13:00;23.7;2;NUAGEUX;3;18.7;0
Foix;42.96;1.6;18/09/2026;14:00;24.5;2;NUAGEUX;3;19.1;0
Foix;42.96;1.6;18/09/2026;15:00;24.6;0;SOLEIL;4;18.7;0
Foix;42.96;1.6;18/09/2026;16:00;25.1;0;SOLEIL;4;25.6;0
Foix;42.96;1.6;18/09/2026;17:00;24.4;0;SOLEIL;4;25.6;0
Foix;42.96;1.6;18/09/2026;18:00;23;0;SOLEIL;3;25.9;0
Foix;42.96;1.6;18/09/2026;19:00;22.1;0;SOLEIL;3;20.2;0
Foix;42.96;1.6;18/09/2026;20:00;21.9;0;SOLEIL;2;18.4;0
Foix;42.96;1.6;18/09/2026;21:00;20.3;0;SOLEIL;2;11.2;0
Foix;42.96;1.6;18/09/2026;22:00;19.6;0;SOLEIL;2;5.4;0
