Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Barcelonnette;44.38;6.65;17/09/2026;00:00;21.6;5;SOLEIL VOILÉ;5;26.6;0
Barcelonnette;44.38;6.65;17/09/2026;01:00;21.9;5;SOLEIL VOILÉ;5;28.1;0
Barcelonnette;44.38;6.65;17/09/2026;02:00;21.2;5;SOLEIL VOILÉ;5;34.6;0
Barcelonnette;44.38;6.65;17/09/2026;03:00;20.5;5;SOLEIL VOILÉ;5;35.6;0
Barcelonnette;44.38;6.65;17/09/2026;04:00;20.5;5;SOLEIL VOILÉ;5;35.6;0
Barcelonnette;44.38;6.65;17/09/2026;05:00;20.4;5;SOLEIL VOILÉ;5;35.3;0
Barcelonnette;44.38;6.65;17/09/2026;06:00;19.4;5;SOLEIL VOILÉ;5;35.6;0
Barcelonnette;44.38;6.65;17/09/2026;07:00;21.1;5;SOLEIL VOILÉ;5;37.4;0
Barcelonnette;44.38;6.65;17/09/2026;08:00;21.6;5;SOLEIL VOILÉ;5;38.2;0
Barcelonnette;44.38;6.65;17/09/2026;09:00;22.2;5;SOLEIL VOILÉ;5;40.7;0
Barcelonnette;44.38;6.65;17/09/2026;10:00;24.2;0;SOLEIL;5;39.2;0
Barcelonnette;44.38;6.65;17/09/2026;11:00;25.1;0;SOLEIL;6;35.3;0
Barcelonnette;44.38;6.65;17/09/2026;12:00;25.1;0;SOLEIL;6;35.3;0
Barcelonnette;44.38;6.65;17/09/2026;13:00;25.1;0;SOLEIL;7;43.6;0
Barcelonnette;44.38;6.65;17/09/2026;14:00;25.3;0;SOLEIL;7;45.7;0
Barcelonnette;44.38;6.65;17/09/2026;15:00;25.1;0;SOLEIL;7;46.4;0
Barcelonnette;44.38;6.65;17/09/2026;16:00;25.2;0;SOLEIL;7;50.4;0
Barcelonnette;44.38;6.65;17/09/2026;17:00;24;0;SOLEIL;6;52.2;0
Barcelonnette;44.38;6.65;17/09/2026;18:00;23.3;0;SOLEIL;5;50.4;0
Barcelonnette;44.38;6.65;17/09/2026;19:00;23.4;0;SOLEIL;4;48.2;0
Barcelonnette;44.38;6.65;17/09/2026;20:00;23.1;0;SOLEIL;3;37.1;0
Barcelonnette;44.38;6.65;17/09/2026;21:00;22.1;0;SOLEIL;4;28.4;0
Barcelonnette;44.38;6.65;17/09/2026;22:00;21.6;0;SOLEIL;4;21.2;0
Barcelonnette;44.38;6.65;17/09/2026;23:00;21.5;0;SOLEIL;4;27.7;0
Barcelonnette;44.38;6.65;18/09/2026;00:00;20.6;0;SOLEIL;5;28.1;0
Barcelonnette;44.38;6.65;18/09/2026;01:00;20.6;0;SOLEIL;5;33.1;0
Barcelonnette;44.38;6.65;18/09/2026;02:00;19.5;0;SOLEIL;7;32.4;0
Barcelonnette;44.38;6.65;18/09/2026;03:00;19.5;0;SOLEIL;7;33.8;0
Barcelonnette;44.38;6.65;18/09/2026;04:00;19.5;0;SOLEIL;7;32.8;0
Barcelonnette;44.38;6.65;18/09/2026;05:00;19.1;5;SOLEIL VOILÉ;7;32.0;0
Barcelonnette;44.38;6.65;18/09/2026;06:00;19.1;5;SOLEIL VOILÉ;7;34.2;0
Barcelonnette;44.38;6.65;18/09/2026;07:00;19.1;5;SOLEIL VOILÉ;7;33.8;0
Barcelonnette;44.38;6.65;18/09/2026;08:00;22.5;5;SOLEIL VOILÉ;7;32.8;0
Barcelonnette;44.38;6.65;18/09/2026;09:00;22.5;5;SOLEIL VOILÉ;7;34.6;0
Barcelonnette;44.38;6.65;18/09/2026;10:00;22.5;5;SOLEIL VOILÉ;7;37.4;0
Barcelonnette;44.38;6.65;18/09/2026;11:00;26.1;0;SOLEIL;8;40.0;0
Barcelonnette;44.38;6.65;18/09/2026;12:00;26.1;0;SOLEIL;8;38.9;0
Barcelonnette;44.38;6.65;18/09/2026;13:00;26.1;0;SOLEIL;8;37.8;0
Barcelonnette;44.38;6.65;18/09/2026;14:00;26.9;0;SOLEIL;7;36.0;0
Barcelonnette;44.38;6.65;18/09/2026;15:00;26.9;0;SOLEIL;7;33.5;0
Barcelonnette;44.38;6.65;18/09/2026;16:00;26.9;0;SOLEIL;7;34.6;0
Barcelonnette;44.38;6.65;18/09/2026;17:00;25.4;0;SOLEIL;6;37.8;0
Barcelonnette;44.38;6.65;18/09/2026;18:00;25.4;0;SOLEIL;6;38.5;0
Barcelonnette;44.38;6.65;18/09/2026;19:00;25.4;0;SOLEIL;6;37.4;0
Barcelonnette;44.38;6.65;18/09/2026;20:00;23;0;SOLEIL;5;33.8;0
Barcelonnette;44.38;6.65;18/09/2026;21:00;23;0;SOLEIL;5;31.3;0
Barcelonnette;44.38;6.65;18/09/2026;22:00;23;0;SOLEIL;5;28.1;0
Barcelonnette;44.38;6.65;18/09/2026;23:00;20.1;0;SOLEIL;6;24.1;0
Barcelonnette;44.38;6.65;19/09/2026;00:00;20.1;0;SOLEIL;6;18.0;0
Barcelonnette;44.38;6.65;19/09/2026;01:00;20.1;0;SOLEIL;6;5.0;0
Barcelonnette;44.38;6.65;19/09/2026;02:00;19.7;0;SOLEIL;3;7.9;0
Barcelonnette;44.38;6.65;19/09/2026;03:00;19.7;0;SOLEIL;3;10.4;0
Barcelonnette;44.38;6.65;19/09/2026;04:00;19.7;0;SOLEIL;3;12.6;0
Barcelonnette;44.38;6.65;19/09/2026;05:00;19.5;0;SOLEIL;3;13.0;0
Barcelonnette;44.38;6.65;19/09/2026;06:00;19.5;0;SOLEIL;3;12.6;0
Barcelonnette;44.38;6.65;19/09/2026;07:00;19.5;0;SOLEIL;3;12.6;0
Barcelonnette;44.38;6.65;19/09/2026;08:00;24.9;0;SOLEIL;1;12.6;0
Barcelonnette;44.38;6.65;19/09/2026;09:00;24.9;0;SOLEIL;1;12.6;0
Barcelonnette;44.38;6.65;19/09/2026;10:00;24.9;0;SOLEIL;1;15.8;0
Barcelonnette;44.38;6.65;19/09/2026;11:00;26.4;0;SOLEIL;4;12.6;0
Barcelonnette;44.38;6.65;19/09/2026;12:00;26.4;0;SOLEIL;4;18.0;0
Barcelonnette;44.38;6.65;19/09/2026;13:00;26.4;0;SOLEIL;4;28.1;0
Barcelonnette;44.38;6.65;19/09/2026;14:00;25.9;0;SOLEIL;3;30.6;0
Barcelonnette;44.38;6.65;19/09/2026;15:00;25.9;0;SOLEIL;3;29.9;0
Barcelonnette;44.38;6.65;19/09/2026;16:00;25.9;0;SOLEIL;3;26.6;0
Barcelonnette;44.38;6.65;19/09/2026;17:00;24;0;SOLEIL;2;25.6;0
Barcelonnette;44.38;6.65;19/09/2026;18:00;24;0;SOLEIL;2;23.0;0
Barcelonnette;44.38;6.65;19/09/2026;19:00;24;0;SOLEIL;2;21.2;0
Barcelonnette;44.38;6.65;19/09/2026;20:00;22.7;0;SOLEIL;5;16.2;0
Barcelonnette;44.38;6.65;19/09/2026;21:00;21.7;0;SOLEIL;5;10.1;0
Barcelonnette;44.38;6.65;19/09/2026;22:00;20.7;0;SOLEIL;5;2.5;0
Barcelonnette;44.38;6.65;19/09/2026;23:00;20.7;0;SOLEIL;3;4.7;0
Barcelonnette;44.38;6.65;20/09/2026;00:00;20.7;0;SOLEIL;3;6.8;0
Barcelonnette;44.38;6.65;20/09/2026;01:00;20.7;0;SOLEIL;3;8.3;0
Barcelonnette;44.38;6.65;20/09/2026;02:00;17.1;0;SOLEIL;5;8.6;0
Barcelonnette;44.38;6.65;20/09/2026;03:00;17.1;0;SOLEIL;5;9.4;0
Barcelonnette;44.38;6.65;20/09/2026;04:00;17.1;0;SOLEIL;5;10.8;0
Barcelonnette;44.38;6.65;20/09/2026;05:00;17.7;0;SOLEIL;3;11.5;0
Barcelonnette;44.38;6.65;20/09/2026;06:00;17.7;0;SOLEIL;3;10.8;0
Barcelonnette;44.38;6.65;20/09/2026;07:00;17.7;0;SOLEIL;3;10.4;0
Barcelonnette;44.38;6.65;20/09/2026;08:00;19.4;0;SOLEIL;5;10.4;0
Barcelonnette;44.38;6.65;20/09/2026;09:00;20.6;0;SOLEIL;5;10.1;0
Barcelonnette;44.38;6.65;20/09/2026;10:00;21.8;0;SOLEIL;5;14.8;0
Barcelonnette;44.38;6.65;20/09/2026;11:00;26.2;2;NUAGEUX;5;8.6;0
Barcelonnette;44.38;6.65;20/09/2026;12:00;26.2;2;NUAGEUX;5;18.1;0
Barcelonnette;44.38;6.65;20/09/2026;13:00;26.2;2;NUAGEUX;5;25.2;0
Barcelonnette;44.38;6.65;20/09/2026;14:00;26.4;0;SOLEIL;5;30.5;0
Barcelonnette;44.38;6.65;20/09/2026;15:00;27.6;0;SOLEIL;5;34.6;0
Barcelonnette;44.38;6.65;20/09/2026;16:00;26.4;0;SOLEIL;5;36.0;0
Barcelonnette;44.38;6.65;20/09/2026;17:00;26.1;0;SOLEIL;6;36.7;0
Barcelonnette;44.38;6.65;20/09/2026;18:00;26.1;0;SOLEIL;6;36.4;0
Barcelonnette;44.38;6.65;20/09/2026;19:00;26.1;0;SOLEIL;6;35.6;0
Barcelonnette;44.38;6.65;20/09/2026;20:00;21.8;0;SOLEIL;5;35.3;0
Barcelonnette;44.38;6.65;20/09/2026;21:00;20.6;0;SOLEIL;5;35.6;0
Barcelonnette;44.38;6.65;20/09/2026;22:00;19.4;0;SOLEIL;5;36.4;0
Barcelonnette;44.38;6.65;20/09/2026;23:00;23;0;SOLEIL;9;37.4;0
Barcelonnette;44.38;6.65;21/09/2026;00:00;23;0;SOLEIL;9;39.6;0
Barcelonnette;44.38;6.65;21/09/2026;01:00;23;0;SOLEIL;9;42.5;0
Barcelonnette;44.38;6.65;21/09/2026;02:00;19.5;0;SOLEIL;5;45.0;0
Barcelonnette;44.38;6.65;21/09/2026;03:00;19.5;0;SOLEIL;5;46.8;0
Barcelonnette;44.38;6.65;21/09/2026;04:00;19.5;0;SOLEIL;5;48.2;0
Barcelonnette;44.38;6.65;21/09/2026;05:00;19.7;0;SOLEIL;9;49.7;0
Barcelonnette;44.38;6.65;21/09/2026;06:00;19.7;0;SOLEIL;9;50.8;0
Barcelonnette;44.38;6.65;21/09/2026;07:00;19.7;0;SOLEIL;9;51.5;0
